time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451900000	6.95101	20.1388	4.93602	3.56682	0.47189	lidar	1.15975	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.72792	20.0459	4.93127	3.58359	0.460406	radar	0.372072	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.48118	19.9572	4.95065	3.59564	0.446993	lidar	0.669945	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.26496	19.8623	4.943	3.61374	0.444339	radar	2.65714	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.00737	19.7715	4.97288	3.62077	0.425712	lidar	1.42078	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.79088	19.6228	4.98843	3.66558	0.469425	radar	2.3505	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.59443	19.5038	4.96951	3.68914	0.470444	lidar	0.744804	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.39554	19.3531	4.96757	3.72452	0.488433	radar	1.67509	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.17429	19.2542	4.96806	3.73141	0.468524	lidar	1.86436	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.97381	19.1423	4.9465	3.73729	0.436664	radar	4.3572	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79614	18.9916	4.9277	3.76794	0.447715	lidar	0.519856	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.59329	18.8411	4.93894	3.7961	0.462424	radar	1.52636	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
